"Track ID","Track Name","Album ID","Artist ID(s)","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","ISRC","Label","Spotify ID"
"20","Should’ve Been Us","20","17","186477","https://p.scdn.co/mp3-preview/e81eff876738b140889a2819a8a2fc8f8c8d1390?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.65","0.766","6","-5.443","0","0.119","0.00408","6.69e-06","0.0759","0.467","89.974","4","USUM71505910","EMI Recorded Music Australia Pty Ltd","2RiJYFyzmE4a5xYV7n7sgI"
"21","Clap Your Hands","21","18","189880","https://p.scdn.co/mp3-preview/ceebad9013abe7d7c1628ab811fb05b490f649b8?cid=9950ac751e34487dbbe027c4fd7f8e99","False","59","0.878","0.875","1","-4.923","1","0.0658","0.0507","3.42e-05","0.356","0.84","124.006","4","FR9W12139309","Universal Music Division Island Def Jam","7g7OshelYRRnOSEMmisJVI"
"22","Good Clean Fun","22","19","135800","https://p.scdn.co/mp3-preview/0e98a942daddf82423b8ac5785b42d23c36c437d?cid=9950ac751e34487dbbe027c4fd7f8e99","False","12","0.582","0.836","11","-9.3","0","0.0559","0.129","1.81e-06","0.248","0.915","110.563","4","USRH10281213","Rhino","1t4I9xuq9Mgdq4SR5hV8p5"
"23","Teach Me How to Fly","23","2378, 3060","248640","https://p.scdn.co/mp3-preview/043caba9159e32b7de21975acf6551d61c8508ff?cid=9950ac751e34487dbbe027c4fd7f8e99","False","10","0.466","0.82","2","-6.089","1","0.0689","0.0503","0.0448","0.294","0.718","139.581","4","AUFE07000001","WM Australia","6ER7Wg69KVV8Vrb1Bln3Cr"
"24","Together We Are One - Radio Mix","24","20","254626","https://p.scdn.co/mp3-preview/2232a1599a41fd2f41ab9ea08ac3f6f7d891d775?cid=9950ac751e34487dbbe027c4fd7f8e99","False","26","0.455","0.621","9","-3.828","1","0.0294","0.0535","0.0","0.109","0.16","134.015","4","AUBM00600111","Epic","7zCaXeBaRwCSQ9JJvop7OL"
"25","No Secrets","25","21","258959","https://p.scdn.co/mp3-preview/079d5ca7ad61eaa819513d96b56ca4481f74bd17?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.445","0.719","7","-5.147","1","0.0285","0.000163","8.36e-06","0.217","0.551","142.02","4","AULI00515860","Bloodlines","656xZ2pwfA1J59EMussJOK"
"26","All For You","26","22","218706","https://p.scdn.co/mp3-preview/83364250663e320011b339875d40f3a7768c28dd?cid=9950ac751e34487dbbe027c4fd7f8e99","False","63","0.633","0.754","8","-6.497","1","0.0382","0.0316","2.49e-05","0.091","0.641","137.049","4","USUR10000469","Universal Records","2skmOCFU64Bg7Ytkgwliwe"
"27","Special","27","23","226493","https://p.scdn.co/mp3-preview/62ea26de2fe0cd2d2ce9805d3faca7a51dd59705?cid=9950ac751e34487dbbe027c4fd7f8e99","False","26","0.433","0.943","0","-4.467","0","0.0434","1.4e-05","0.144","0.138","0.398","131.643","4","USAL19800026","Liberator Music","7nQqn8ZyaQdlBQPZ6KbT24"
"28","Saturday Sun","28","14","214746","https://p.scdn.co/mp3-preview/47204eb241dee5c510728f25ba9cb723c3ed95d9?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.628","0.869","8","-4.339","1","0.0489","0.497","0.0","0.169","0.701","99.97","4","USAT21705384","Liberation Records","5qnqVH96GFq3Qo71lEkFT5"
"29","Montego Bay","29","24","176466","https://p.scdn.co/mp3-preview/2ef5849fcf4f33fe021fc5d3223dbaf346d004dd?cid=9950ac751e34487dbbe027c4fd7f8e99","False","39","0.765","0.586","7","-10.332","1","0.0367","0.734","0.00218","0.113","0.943","105.567","4","USPR37007123","Universal Records","6TBUBqz21JmF2hkeRbnwme"
"30","Your Power","30","25","245896","https://p.scdn.co/mp3-preview/a615fa9703894f6d2cff922b4e0f8346ac65c758?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.634","0.285","9","-14.007","0","0.0807","0.937","0.000359","0.232","0.203","129.65","4","USUM72105934","Darkroom/Interscope Records","5qNh5WtzMbfpSj2jLlBkoD"
"31","Talk of the Town","31","26","224266","https://p.scdn.co/mp3-preview/da0c9cbee69e9c88d9f125c382dc32c2e9afadd9?cid=9950ac751e34487dbbe027c4fd7f8e99","False","10","0.679","0.892","7","-9.401","1","0.0512","0.492","0.028","0.116","0.933","92.529","4","AUBM09341002","BMG Music","3u5vKV8Jr3XON1QWz1lUbP"
